sample_idx,review,json_valid,error,ground_truth_aspects,predicted_aspects
0,"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",True,,"[{""term"": ""Boot time"", ""polarity"": ""positive""}]","[{""feature"": ""boot time"", ""sentiment"": ""positive"", ""opinion"": ""super fast""}]"
1,tech support would not fix the problem unless I bought your plan for 150 plus.,True,,"[{""term"": ""tech support"", ""polarity"": ""negative""}]","[{""feature"": ""tech support"", ""sentiment"": ""negative"", ""opinion"": ""The tech support is unreliable and requires additional payment to resolve issues.""}]"
2,but in resume this computer rocks!,True,,"[{""term"": ""computer"", ""polarity"": ""positive""}]","[{""feature"": ""computer"", ""sentiment"": ""positive"", ""opinion"": ""rocks""}]"
3,Set up was easy.,True,,"[{""term"": ""Set up"", ""polarity"": ""positive""}]","[{""feature"": ""set up"", ""sentiment"": ""positive"", ""opinion"": ""easy""}]"
4,Did not enjoy the new Windows 8 and touchscreen functions.,True,,"[{""term"": ""Windows 8"", ""polarity"": ""negative""}, {""term"": ""touchscreen functions"", ""polarity"": ""negative""}]","[{""feature"": ""Windows 8"", ""sentiment"": ""negative"", ""opinion"": ""did not enjoy""}, {""feature"": ""touchscreen functions"", ""sentiment"": ""negative"", ""opinion"": ""did not enjoy""}]"
5,"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now.",True,,"[{""term"": ""Apple product"", ""polarity"": ""neutral""}, {""term"": ""expectations exceeded"", ""polarity"": ""positive""}, {""term"": ""laptop"", ""polarity"": ""positive""}]","[{""feature"": ""laptop"", ""sentiment"": ""positive"", ""opinion"": ""exceeded expectations""}, {""feature"": ""Apple product"", ""sentiment"": ""positive"", ""opinion"": ""expected value""}]"
6,"Other than not being a fan of click pads industry standard these days and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the 350 price tag.",True,,"[{""term"": ""Click pads"", ""polarity"": ""negative""}, {""term"": ""Internal speakers"", ""polarity"": ""negative""}]","[{""feature"": ""click pads industry standard"", ""sentiment"": ""negative"", ""opinion"": ""not being a fan""}, {""feature"": ""internal speakers"", ""sentiment"": ""negative"", ""opinion"": ""lousy""}]"
7,excellent in every way.,True,,"[{""term"": ""excellent"", ""polarity"": ""positive""}]","[{""feature"": """", ""sentiment"": ""positive"", ""opinion"": """"}]"
8,No installation disk DVD is included.,True,,"[{""term"": ""Installation disk DVD"", ""polarity"": ""negative""}]","[{""feature"": ""installation disk DVD"", ""sentiment"": ""negative"", ""opinion"": ""The product does not come with an installation disk DVD.""}]"
9,"It's fast, light, and simple to use.",True,,"[{""term"": ""Fast"", ""polarity"": ""positive""}, {""term"": ""Light"", ""polarity"": ""positive""}, {""term"": ""Simple to use"", ""polarity"": ""positive""}]","[{""feature"": ""fast"", ""sentiment"": ""positive"", ""opinion"": ""The product is quick in operation.""}, {""feature"": ""light"", ""sentiment"": ""positive"", ""opinion"": ""The product has minimal weight.""}, {""feature"": ""simple to use"", ""sentiment"": ""positive"", ""opinion"": ""Using the product is straightforward and easy.""}]"
10,"Works well, and I am extremely happy to be back to an apple OS.",True,,"[{""term"": ""Works well"", ""polarity"": ""positive""}, {""term"": ""Apple OS"", ""polarity"": ""positive""}]","[{""feature"": ""Works well"", ""sentiment"": ""positive"", ""opinion"": """"}, {""feature"": ""Apple OS"", ""sentiment"": ""positive"", ""opinion"": """"}]"
11,This mac has been a problem since we got it.,True,,"[{""term"": ""mac"", ""polarity"": ""negative""}]","[{""feature"": ""mac"", ""sentiment"": ""negative"", ""opinion"": ""has been a problem""}]"
12,Sure it's not light and slim but the features make up for it 100.,True,,"[{""term"": ""Light and slim"", ""polarity"": ""negative""}, {""term"": ""Features"", ""polarity"": ""positive""}]","[{""feature"": ""features"", ""sentiment"": ""positive"", ""opinion"": ""make up for it 100""}]"
