Input,Base Model Output,Fine-tuned Output,Match
"Boot time is super fast, around anywhere from 35 seconds to 1 minute.","```json
{
    ""domain"": ""general"",
    ""aspects"": [
        {
            ""term"": ""boot time"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Boot time"",""polarity"":""positive""}]}",False
tech support would not fix the problem unless I bought your plan for 150 plus.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""tech support"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Tech support"",""polarity"":""negative""}]}",False
but in resume this computer rocks!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""positive""}]}",False
Set up was easy.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""setup"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Set up"",""polarity"":""positive""}]}",False
Did not enjoy the new Windows 8 and touchscreen functions.,"```json
{
    ""domain"": ""software"",
    ""aspects"": [
        {
            ""term"": ""Windows 8"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""touchscreen functions"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8"",""polarity"":""negative""},{""term"":""touchscreen functions"",""polarity"":""negative""}]}",False
"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple product"",""polarity"":""neutral""},{""term"":""expectations"",""polarity"":""negative""},{""term"":""laptop"",""polarity"":""positive""}]}",False
"Other than not being a fan of click pads industry standard these days and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the 350 price tag.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""click pad"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""internal speakers"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""click pads"",""polarity"":""negative""},{""term"":""internal speakers"",""polarity"":""negative""}]}",False
excellent in every way.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""excellent"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""every way"",""polarity"":""positive""}]}",False
No installation disk DVD is included.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""installation disk DVD"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Installation disk DVD"",""polarity"":""negative""}]}",False
"It's fast, light, and simple to use.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""light"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""simple to use","{""domain"":""software"",""aspects"":[{""term"":""Fast"",""polarity"":""positive""},{""term"":""Light"",""polarity"":""positive""},{""term"":""Simple to use"",""polarity"":""positive""}]}",False
"Works well, and I am extremely happy to be back to an apple OS.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Apple OS"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Works well"",""polarity"":""positive""},{""term"":""apple OS"",""polarity"":""positive""}]}",False
This mac has been a problem since we got it.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""mac"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""mac"",""polarity"":""negative""}]}",False
Sure it's not light and slim but the features make up for it 100.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""features"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Features"",""polarity"":""positive""},{""term"":""Light and slim"",""polarity"":""negative""}]}",False
"I am pleased with the fast log on, speedy WiFi connection and the long battery life 6 hrs.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""log on"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""WiFi connection"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""battery","{""domain"":""electronics"",""aspects"":[{""term"":""Log on time"",""polarity"":""positive""},{""term"":""WiFi connection"",""polarity"":""positive""},{""term"":""Battery life"",""polarity"":""positive""}]}",False
The Apple engineers have not yet discovered the delete key.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""delete key"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple engineers"",""polarity"":""neutral""},{""term"":""Delete key"",""polarity"":""negative""}]}",False
Made interneting part of my business very difficult to maintain.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""interneting"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""interneting"",""polarity"":""negative""}]}",False
"Luckily, for all of us contemplating the decision, the Mac Mini is priced just right.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac Mini"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Mac Mini"",""polarity"":""positive""}]}",False
Small and still VERY powerful.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""small"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""powerful"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Size"",""polarity"":""negative""},{""term"":""Power"",""polarity"":""positive""}]}",False
I had gotten this model for 1199.00 on my State's taxfree weekend and had a 100 off coupon for a MacBook at the local BestBuy!,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""MacBook"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""State's taxfree weekend"",""polarity"":""neutral""},{""term"":""MacBook"",""polarity"":""positive""}]}",False
"Super light, super sexy and everything just works.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Super light"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""super sexy"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""everything","{""domain"":""general"",""aspects"":[{""term"":""Super light"",""polarity"":""positive""},{""term"":""Super sexy"",""polarity"":""positive""},{""term"":""Everything just works"",""polarity"":""positive""}]}",False
"Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""trackpad"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Track pad"",""polarity"":""negative""}]}",False
And if you are switching from a pc I hilghy sugest this one.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""pc"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""pc"",""polarity"":""neutral""},{""term"":""this one"",""polarity"":""positive""}]}",False
It is super fast and has outstanding graphics.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""graphics"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""graphics cards"",""aspects"":[{""term"":""Graphics"",""polarity"":""positive""},{""term"":""Boot time"",""polarity"":""positive""}]}",False
But the mountain lion is just too slow.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""mountain lion"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Mountain lion"",""polarity"":""negative""}]}",False
Strong build though which really adds to its durability.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""build"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""durability"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Build"",""polarity"":""positive""}]}",False
The battery life is excellent 67 hours without charging.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""battery life"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Battery life"",""polarity"":""positive""}]}",False
I enjoy having apple products.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""apple products"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""apple products"",""polarity"":""positive""}]}",False
I've had my computer for 2 weeks already and it works perfectly.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""computer"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Computer"",""polarity"":""positive""}]}",False
I will never go back to a PC again!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""PC"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""PC"",""polarity"":""negative""}]}",False
And I may be the only one but I am really liking Windows 8.,"```json
{
    ""domain"": ""software"",
    ""aspects"": [
        {
            ""term"": ""Windows 8"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8"",""polarity"":""positive""}]}",False
The baterry is very longer.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""battery"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Battery"",""polarity"":""positive""}]}",False
And it's so quiet that I don't hear it at all.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""quiet"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""quiet"",""polarity"":""negative""}]}",False
Its size is ideal and the weight is acceptable.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""size"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""weight"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Size"",""polarity"":""positive""},{""term"":""Weight"",""polarity"":""neutral""}]}",False
"I know Apples are more expensive than PCs, but he thinks it is worth every penny.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Apples"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""PCs"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apples"",""polarity"":""positive""},{""term"":""PCs"",""polarity"":""negative""}]}",False
To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""workhorse"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""quiet"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""save big","{""domain"":""electronics"",""aspects"":[{""term"":""workhorse"",""polarity"":""positive""},{""term"":""quiet"",""polarity"":""positive""},{""term"":""save big bucks"",""polarity"":""positive""}]}",False
I can say that I am fully satisfied with the performance that the computer has supplied.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Performance"",""polarity"":""positive""}]}",False
"I'm pretty sure when I bought it, my bank account went 'ouch!","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""'ouch'"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""bank account"",""polarity"":""negative""}]}",False
Thank you so much for the great item.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""item"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""item"",""polarity"":""positive""}]}",False
"This laptop has only 2 USB ports, and they are both on the same side.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""laptop"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""USB ports"",""polarity"":""negative""}]}",False
It's annoying very much and I won't ever buy any Acer products.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Acer"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Acer products"",""polarity"":""negative""}]}",False
This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""LAPTOP"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""LAPTOP"",""polarity"":""positive""}]}",False
It has so much more speed and the screen is very sharp.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""speed"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""screen"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Speed"",""polarity"":""positive""},{""term"":""Screen"",""polarity"":""positive""}]}",False
"As for the laptop, this is our 3rd Apple computer in the past 2 years.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple computer"",""polarity"":""neutral""}]}",False
Everything I wanted and everything I needed and the price was great!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""everything"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""I wanted"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""needed"",","{""domain"":""general"",""aspects"":[{""term"":""Everything I wanted"",""polarity"":""positive""},{""term"":""Price"",""polarity"":""positive""}]}",False
It's not inexpensive but the Hardware performance is impressive for a computer this small.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Hardware"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Hardware performance"",""polarity"":""positive""},{""term"":""Inexpensive"",""polarity"":""negative""}]}",False
